Vivado Simulator 2018.3
Time resolution is 1 ps
At time               785000, reset = 0, in_valid = 0, in_data =  0, out_largest =  5, expected =  5
At time               795000, reset = 0, in_valid = 0, in_data = 11, out_largest =  0, expected =  0
At time               805000, reset = 0, in_valid = 0, in_data = 12, out_largest =  0, expected =  0
At time               815000, reset = 0, in_valid = 1, in_data = 13, out_largest =  0, expected =  0
At time               825000, reset = 0, in_valid = 1, in_data =  6, out_largest =  0, expected =  0
At time               835000, reset = 0, in_valid = 1, in_data =  7, out_largest =  0, expected =  0
At time               845000, reset = 0, in_valid = 1, in_data =  6, out_largest =  0, expected =  0
At time               855000, reset = 0, in_valid = 0, in_data =  9, out_largest =  0, expected =  0
At time               865000, reset = 0, in_valid = 0, in_data =  4, out_largest =  0, expected =  0
At time               875000, reset = 0, in_valid = 1, in_data =  4, out_largest =  0, expected =  0
At time               885000, reset = 0, in_valid = 1, in_data = 11, out_largest =  0, expected =  0
At time               895000, reset = 0, in_valid = 0, in_data =  9, out_largest =  0, expected =  0
At time               905000, reset = 1, in_valid = 0, in_data =  6, out_largest =  0, expected =  0
At time               935000, reset = 1, in_valid = 0, in_data =  7, out_largest =  0, expected =  0
At time               945000, reset = 1, in_valid = 0, in_data =  4, out_largest =  0, expected =  0
At time               955000, reset = 1, in_valid = 0, in_data =  8, out_largest =  0, expected =  0
At time               965000, reset = 1, in_valid = 0, in_data =  7, out_largest =  0, expected =  0
At time               975000, reset = 1, in_valid = 1, in_data =  8, out_largest =  0, expected =  0
At time               985000, reset = 1, in_valid = 1, in_data = 13, out_largest =  8, expected =  8
At time               995000, reset = 1, in_valid = 1, in_data = 12, out_largest = 13, expected = 13
